sentence1	sentence2	simalarty
<Entity>Hamdi H. (27</Entity>) weinte die ganze Zeit.	"Mercedes-Beifahrerin <Entity>Olesya K. (22</Entity>) vor Gericht: „Ich war schockiert. Erstens über die
Geschwindigkeit, zweitens über die roten Ampeln.“"	0
"Die Bundesanwaltschaft wirft der jungen Frau aus <Entity>Breitenbach bei Sangerhausen</Entity> vor,
Mitglied einer ausländischen Terrororganisation gewesen zu sein."	Leonora M. mit ihrer Tochter in <Entity>Syrien</Entity>	0
"An einer Kreuzung fährt Rentner Michael W. (69) mit seinem Jeep bei Grün los, <Entity>Hamdi H</Entity>.
rammt ihn mit seinem Audi."	"Der Fall vom 1. Februar 2016: <Entity>Hamdi H</Entity>. fährt einen Audi A 6 TDI (225 PS), Marvin N. einen
AMG-Mercedes (380 PS)."	1
Die Polizei spürte Alex S. (32) in einer Wohnung <Entity>in Mönchengladbach</Entity> auf	"Er war Ende Juni
blutüberströmt und lebensgefährlich verletzt nachts auf einem <Entity>Feldweg in Mönchengladbach</Entity>
aufgefunden worden."	0.3
Bisher schweigt <Entity>Mario B</Entity>. zu den Vorwürfen.	"Der Verdacht fiel schnell auf <Entity>Mario B</Entity>., sieben Monate später begann der
Totschlags-Prozess gegen ihn."	1
"Die
Angriffe seien „Vergeltung und Selbstjustiz“ gewesen für einen kurz zuvor erfolgten Streit an
seinem Kiosk <Entity>in</Entity> der Wildenbruchstraße (Neukölln)."	"Polizei sucht Spione  
aus dem Grünen <Entity>Gewölbe</Entity>"	0
"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. <Entity>Mittenwalder</Entity>-,
Fürbringer-, Zossener Straße."	"Vorm <Entity>S-Bahnhof</Entity> Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, Bülowstraße – dort hängt er die
Verfolger ab."	0
"Bei Ampelrot in den Gegenverkehr, Slalom in der
<Entity>Gneisenaustraße</Entity>, Kollision. Mehringdamm/Yorckstraße, wieder Kollisionen."	"Bei Ampelrot in den Gegenverkehr, Slalom in der
Gneisenaustraße, Kollision. <Entity>Mehringdamm</Entity>/Yorckstraße, wieder Kollisionen."	0
Al-Zeins wohnen weiterhin in der <Entity>Villa</Entity>	Bei der Razzia im Juni wurde diese <Entity>Villa in Leverkusen</Entity> durchsucht, es kam zu mehreren Festnahmen	0.8
"Im Jahr 2015 hatte sich die 15-jährige <Entity>Leonora M</Entity>. unbemerkt von ihren Eltern radikalisiert, sie
reiste nach Syrien aus und schloss sich dem Islamischen Staat an."	"Laut eines Haftbefehls gegen <Entity>M</Entity>. aus dem Jahr 2020 soll ihr Ehemann 2015 eine Frau als
Sklavin gekauft haben, um diese zusammen mit ihren zwei Kindern „gewinnbringend“
weiterzuverkaufen."	0.2
<Entity>Badia Al-Zein</Entity>, seine beiden Söhne und seine Frau wurden verhaftet.	"Jetzt kam der jüngere Sohn <Entity>Mohamed (24</Entity>) aus der U-Haft
frei!"	0
"Clan-Boss <Entity>Nasser Rammou (44</Entity>, trotz anderer Schreibweise gehört er zum
berüchtigten Remmo-Clan) kippte letztens vor Gericht um und kam ins Krankenhaus."	Clan-Boss <Entity>Nasser Rammou</Entity> schwieg im Prozess.	1
"Im 7er BMW raste <Entity>Halil G. (41</Entity>) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke Kreuzberg und Schöneberg. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	Seit Ende Mai sitzt <Entity>Halil G</Entity>. in U-Haft.	1
"Das ist in <Entity>Deutschland</Entity> bisher einmalig, denn in vergleichbaren Fällen ist maximal wegen
fahrlässiger Tötung angeklagt worden, Höchststrafe fünf Jahre."	"„Durch die Wucht wurde das Fahrzeug um die Hoch-, Längs-
und Querachse verdreht, auf eine Geschwindigkeit von mindestens 60 Stundenkilometer
quer beschleunigt und 72 Meter in Richtung <Entity>Wittenbergplatz</Entity> geschleudert“, so die
Anklage."	0
"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke <Entity>Kreuzberg</Entity> und Schöneberg. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. <Entity>Goebenstraße</Entity>, Bülowstraße – dort hängt er die
Verfolger ab."	0
<Entity>Hamdi H. (27</Entity>) weinte die ganze Zeit.	"Staatsanwalt <Entity>Christian</Entity> Fröhlich: „Wir haben geprüft, ob bedingter Tötungsvorsatz bei dem
Rennen vorlag. Wir haben Anhaltspunkte dafür.“"	0
<Entity>Leonora M</Entity>. mit ihrer Tochter in Syrien	"Im Jahr 2015 hatte sich die 15-jährige <Entity>Leonora M</Entity>. unbemerkt von ihren Eltern radikalisiert, sie
reiste nach Syrien aus und schloss sich dem Islamischen Staat an."	1
"Blutüberströmt schleppte sich das Opfer noch aus dem Hausflur, mehrfach war
auf den Ungarn <Entity>Balazs B. (33</Entity>) eingestochen worden."	"Ein Bekannter des ungarischen Opfers berichtete BILD im Mai: „Die Beiden sollen sich über
ein Dating-Portal kennengelernt haben. <Entity>Balasz</Entity> trug gern Frauenkleider, ist ein
Transvestit.“"	1
"<Entity>Nasser Rammou</Entity> saß 15 Jahre, also ein Drittel seines
Lebens, im Gefängnis, meist wegen Drogendelikten."	Clan-Boss <Entity>Nasser Rammou</Entity> schwieg im Prozess.	1
"Der Verdacht fiel schnell auf <Entity>Mario B</Entity>., sieben Monate später begann der
Totschlags-Prozess gegen ihn."	Neben dem aktuellen Prozess könnte ein älterer gegen <Entity>Mario B</Entity>. wieder aufgenommen werden.	1
"Bei Ampelrot in den Gegenverkehr, Slalom in der
<Entity>Gneisenaustraße</Entity>, Kollision. Mehringdamm/Yorckstraße, wieder Kollisionen."	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer<Entity>-</Entity>, Zossener Straße."	0
Der Generalbundesanwalt hat die ISIS-Rückkehrerin <Entity>Leonora M. (21</Entity>) aus Sachsen-	"Laut eines Haftbefehls gegen <Entity>M</Entity>. aus dem Jahr 2020 soll ihr Ehemann 2015 eine Frau als
Sklavin gekauft haben, um diese zusammen mit ihren zwei Kindern „gewinnbringend“
weiterzuverkaufen."	1
Der Dauer-Raser aus <Entity>Neukölln</Entity> hat alles zugegeben.	"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke Kreuzberg und <Entity>Schöneberg</Entity>. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	0
Der 7. November 2020, <Entity>Bahnhof Gesundbrunnen (Wedding</Entity>).	"Der Remmo-Clan ist in spektakuläre Millionen-Verbrechen verstrickt (Goldmünze
<Entity>Bodemuseum</Entity>, Grünes Gewölbe Dresden)."	0
"Aber nicht <Entity>Felix B.
(31</Entity>) und sein Kollege David S. (31)!"	"Aber nicht Felix B.
(31) und sein Kollege <Entity>David S. (31</Entity>)!"	0
"Am 20. Dezember 2015 soll er <Entity>Jean W. (52</Entity>) in einer Wohnung in der Dolgenseestraße
(Berlin-Lichtenberg) attackiert haben."	Bisher schweigt <Entity>Mario B</Entity>. zu den Vorwürfen.	0
Der 7. November 2020, <Entity>Bahnhof Gesundbrunnen (Wedding</Entity>).	"Urteil nach brutalen Angriffen auf Tschetschenen in <Entity>Berlin</Entity>
Nasser Rammou"	0
<Entity>Badia Al-Zein</Entity>, seine beiden Söhne und seine Frau wurden verhaftet.	"Der Haupt-Tatverdächtige <Entity>Badia Al-Zein</Entity> und sein älterer Sohn Sehmus (28) sitzen weiter
in U-Haft."	1
Seit Ende Mai sitzt <Entity>Halil G</Entity>. in U-Haft.	"„Das Video aus der Dashcam erinnert an das Videospiel Fast&Furious“, sagt <Entity>Andreas
Winkelmann (55</Entity>)."	0
"Die Mordkommission nahm den Gesuchten am Mittwochabend in einer Wohnung <Entity>in
Mönchengladbach</Entity> fest."	Die Polizei spürte Alex S. (32) in einer Wohnung <Entity>in Mönchengladbach</Entity> auf	1
<Entity>Mohamed M. (33</Entity>, li.) soll der Komplize vom Überfall auf die ältere Seniorin (93) gewesen sein.	"Feiger Sex-Gangster und

Komplize vor Gericht

<Entity>Mestafa B. (17</Entity>, li.) wird in Handschellen ins Gericht geführt."	0
"<Entity>Edith Blum</Entity> an
den schweren Schädelverletzungen und an Unterkühlung."	"Gegen 22 Uhr traf sie in der Nähe der
Obdachlosenunterkunft „Benedikt-<Entity>Labre</Entity>-Haus“ auf den Angeschuldigten."	0
"Denn: Erst wurde wegen fahrlässiger Tötung gegen <Entity>Hamdi H</Entity>. ermittelt, dann gegen beide
Fahrer wegen Totschlags."	"Der Fall vom 1. Februar 2016: Hamdi H. fährt einen Audi A 6 TDI (225 PS), <Entity>Marvin N</Entity>. einen
AMG-Mercedes (380 PS)."	0
"Clan-Boss <Entity>Nasser Rammou (44</Entity>, trotz anderer Schreibweise gehört er zum
berüchtigten Remmo-Clan) kippte letztens vor Gericht um und kam ins Krankenhaus."	"Der <Entity>Remmo</Entity>-Clan ist in spektakuläre Millionen-Verbrechen verstrickt (Goldmünze
Bodemuseum, Grünes Gewölbe Dresden)."	0
"An einer Kreuzung fährt Rentner <Entity>Michael W. (69</Entity>) mit seinem Jeep bei Grün los, Hamdi H.
rammt ihn mit seinem Audi."	"Der Anwalt von <Entity>Marvin N</Entity>. sagt, aus seiner Sicht handle es sich aber rechtlich nur um eine
„übermäßige Straßennutzung“, die als Ordnungswidrigkeit geahndet werde (400 Euro und ein
Monat Fahrverbot)."	0
"<Entity>Nasser Rammou</Entity> saß 15 Jahre, also ein Drittel seines
Lebens, im Gefängnis, meist wegen Drogendelikten."	"Urteil nach brutalen Angriffen auf Tschetschenen in Berlin
Nasser <Entity>Rammou</Entity>"	0.8
"Bei Ampelrot in den Gegenverkehr, Slalom in der
<Entity>Gneisenaustraße</Entity>, Kollision. Mehringdamm/Yorckstraße, wieder Kollisionen."	"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke Kreuzberg und <Entity>Schöneberg</Entity>. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	0
"Die Mordkommission nahm den Gesuchten am Mittwochabend in einer Wohnung <Entity>in
Mönchengladbach</Entity> fest."	"Er war Ende Juni
blutüberströmt und lebensgefährlich verletzt nachts auf einem <Entity>Feldweg in Mönchengladbach</Entity>
aufgefunden worden."	0
"Der Haupt-Tatverdächtige <Entity>Badia Al-Zein</Entity> und sein älterer Sohn Sehmus (28) sitzen weiter
in U-Haft."	"Staatsanwalt <Entity>Julius Sterzel</Entity>
(ZeOS NRW): „Wir prüfen, ob wir Beschwerde einlegen.“"	0
"Das
<Entity>Oberlandesgericht Naumburg</Entity> bestätigte dem Blatt den Eingang der Anklageschrift."	Das berichtet die in Halle erscheinende <Entity>Mitteldeutsche Zeitung</Entity> (Mittwochsausgabe).	0
<Entity>Aberrahmane M. (24</Entity>) steht wegen Überfalls und körperlicher Misshandlung einer Seniorin (72) vor Gericht	Der damalige Komplize, <Entity>Mohamed M. (33</Entity>), behauptete in seinem Prozess, er sei bereits nach der Fesselung geflüchtet, habe mit der Sex-Tat nichts zu tun.	0
"Am 8. November 2020 fanden Spaziergänger im <Entity>Buchholzer Graben/Ecke</Entity> Schönerlinder
Straße einen männlichen Oberschenkelknochen ohne Gewebe."	"Nach Informationen aus Justizkreisen wirft die Berliner
Staatsanwaltschaft Lehrer Stefan R. (41) aus <Entity>Pankow</Entity> einen Sexualmord aus niedrigen
Beweggründen vor."	0
"Bei Ampelrot in den Gegenverkehr, Slalom in der
<Entity>Gneisenaustraße</Entity>, Kollision. Mehringdamm/Yorckstraße, wieder Kollisionen."	Der Dauer-Raser aus <Entity>Neukölln</Entity> hat alles zugegeben.	0
"Der Haupt-Tatverdächtige Badia Al-Zein und sein älterer Sohn <Entity>Sehmus (28</Entity>) sitzen weiter
in U-Haft."	"Jetzt kam der jüngere Sohn <Entity>Mohamed (24</Entity>) aus der U-Haft
frei!"	0
Al-Zeins wohnen weiterhin in der <Entity>Villa</Entity>	"Anfang Juni stürmte die Polizei die <Entity>Al-Zein-Villa in Leverkusen</Entity>,
verhaftete vier Clan-Mitglieder."	1
"Staatsanwalt <Entity>Julius Sterzel</Entity>
(ZeOS NRW): „Wir prüfen, ob wir Beschwerde einlegen.“"	"„Mein Mandant ist aus der Haft entlassen. Es besteht kein dringender Tatverdacht“, so sein
Verteidiger <Entity>Goran Bronisch</Entity> zu BILD."	0
Die Polizei spürte <Entity>Alex S. (32</Entity>) in einer Wohnung in Mönchengladbach auf	"Mit nationalem und auch europäischem Haftbefehl hatte die Polizei
nach <Entity>Alex S. (32</Entity>) gefahndet. Aufgespürt wurde er jetzt aber ganz in der Nähe des Tatorts."	1
"Mercedes-Beifahrerin <Entity>Olesya K. (22</Entity>) vor Gericht: „Ich war schockiert. Erstens über die
Geschwindigkeit, zweitens über die roten Ampeln.“"	"Staatsanwalt <Entity>Christian</Entity> Fröhlich: „Wir haben geprüft, ob bedingter Tötungsvorsatz bei dem
Rennen vorlag. Wir haben Anhaltspunkte dafür.“"	0
Der Dauer-Raser aus <Entity>Neukölln</Entity> hat alles zugegeben.	"Rotlicht-Verstoß <Entity>Blücherstraße</Entity>, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, Zossener Straße."	0
"Der Fall vom 1. Februar 2016: Hamdi H. fährt einen Audi A 6 TDI (225 PS), <Entity>Marvin N</Entity>. einen
AMG-Mercedes (380 PS)."	"Staatsanwalt <Entity>Christian</Entity> Fröhlich: „Wir haben geprüft, ob bedingter Tötungsvorsatz bei dem
Rennen vorlag. Wir haben Anhaltspunkte dafür.“"	0
Die <Entity>Polizei</Entity> spürte Alex S. (32) in einer Wohnung in Mönchengladbach auf	"Mit nationalem und auch europäischem Haftbefehl hatte die <Entity>Polizei</Entity>
nach Alex S. (32) gefahndet. Aufgespürt wurde er jetzt aber ganz in der Nähe des Tatorts."	1
"Der 24-Jährige wurde 2015 in <Entity>Deutschland</Entity> erstmals
registriert."	"Der Messerstecher von <Entity>Würzburg</Entity> soll nach dpa-Informationen in einer
Psychiatrie untergebracht werden."	0
"Staatsanwalt <Entity>Christian</Entity> Fröhlich: „Wir haben geprüft, ob bedingter Tötungsvorsatz bei dem
Rennen vorlag. Wir haben Anhaltspunkte dafür.“"	Während der Staatsanwalt die Anklage verlas, starrte <Entity>Marvin N. (24</Entity>) auf den Tisch.	0
"Auch der Verteidiger von <Entity>Hamdi H</Entity>. sagt: „Das Rennen war ihm nicht ansatzweise wichtig
genug, um den Tod eines Menschen billigend in Kauf zu nehmen.“"	"Staatsanwalt <Entity>Christian</Entity> Fröhlich: „Wir haben geprüft, ob bedingter Tötungsvorsatz bei dem
Rennen vorlag. Wir haben Anhaltspunkte dafür.“"	0
"Ein Zeuge entdeckte am 14. Januar 2021 die Leiche der Obdachlosen Edith Blum
(63) zwischen Baucontainern auf dem Platz vor einem Obdachlosenheim <Entity>in</Entity> der
Luxemburger Straße in Trier (Rheinland-Pfalz)."	"Im Februar 2020 zog er nach <Entity>Trier</Entity>,
lebte zuletzt in einer von der Stadt zugewiesenen Wohnung."	0
"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke <Entity>Kreuzberg</Entity> und Schöneberg. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, <Entity>Bülowstraße</Entity> – dort hängt er die
Verfolger ab."	0
"Am 8. November 2020 fanden Spaziergänger im Buchholzer Graben/Ecke Schönerlinder
<Entity>Straße</Entity> einen männlichen Oberschenkelknochen ohne Gewebe."	"Die Leiche des Opfers soll der Deutsche anschließend noch in seiner Wohnung zerteilt und
die Leichenteile an verschiedenen Orten <Entity>in Berlin</Entity> abgelegt haben."	0
"Der Haupt-Tatverdächtige Badia Al-Zein und sein älterer Sohn <Entity>Sehmus (28</Entity>) sitzen weiter
in U-Haft."	"Staatsanwalt <Entity>Julius Sterzel</Entity>
(ZeOS NRW): „Wir prüfen, ob wir Beschwerde einlegen.“"	0
Die <Entity>Polizei</Entity> spürte Alex S. (32) in einer Wohnung in Mönchengladbach auf	"Zur Motivlage teilte die <Entity>Polizei</Entity> aus ermittlungstaktischen Gründen bislang lediglich mit,
dass diese „im persönlichen, beziehungsbedingten Bereich“ liegen dürfte, aber wohl auch
„finanziell motiviert“ sei."	1
Clan-Boss <Entity>Nasser Rammou</Entity> schwieg im Prozess.	"Clan-Boss Nasser Rammou (44, trotz anderer Schreibweise gehört er zum
berüchtigten <Entity>Remmo</Entity>-Clan) kippte letztens vor Gericht um und kam ins Krankenhaus."	0
"Beide sollen dann
zur Kreisverkehr-Baustelle am Kopf der <Entity>Römerbrücke in Trier-West</Entity> gegangen sein, um zu
Alkohol zu trinken."	"Ein Zeuge entdeckte am 14. Januar 2021 die Leiche der Obdachlosen Edith Blum
(63) zwischen Baucontainern auf dem Platz vor einem Obdachlosenheim <Entity>in</Entity> der
Luxemburger Straße in Trier (Rheinland-Pfalz)."	0
"<Entity>Nasser Rammou</Entity> saß 15 Jahre, also ein Drittel seines
Lebens, im Gefängnis, meist wegen Drogendelikten."	Er könne das Urteil anfechten, belehrte ihn Richter <Entity>Schwanitz</Entity>.	0
"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke Kreuzberg und <Entity>Schöneberg</Entity>. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer<Entity>-</Entity>, Zossener Straße."	0
<Entity>Marvin</Entity> habe geschwiegen: „Er gab nur Gas.“	"An einer Kreuzung fährt Rentner <Entity>Michael W. (69</Entity>) mit seinem Jeep bei Grün los, Hamdi H.
rammt ihn mit seinem Audi."	0
"Der Remmo-Clan ist in spektakuläre Millionen-Verbrechen verstrickt (Goldmünze
Bodemuseum, Grünes <Entity>Gewölbe</Entity> Dresden)."	"Polizei sucht Spione  
aus dem Grünen <Entity>Gewölbe</Entity>"	0.8
Das berichtet die in <Entity>Halle</Entity> erscheinende Mitteldeutsche Zeitung (Mittwochsausgabe).	"Der gelernte Schweißer hatte sich bereits 2014
nach <Entity>Syrien</Entity> abgesetzt und war in der Hierarchie der Terrororganisation aufgestiegen."	0
"Am 13. Oktober 2017
wurde die Ordnungswidrigkeit Autorennen in <Entity>Deutschland</Entity> zur Straftat."	"Bei Ampelrot in den Gegenverkehr, Slalom in der
Gneisenaustraße, Kollision. <Entity>Mehringdamm</Entity>/Yorckstraße, wieder Kollisionen."	0
"Bei Ampelrot in den Gegenverkehr, Slalom in der
<Entity>Gneisenaustraße</Entity>, Kollision. Mehringdamm/Yorckstraße, wieder Kollisionen."	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, <Entity>Bülowstraße</Entity> – dort hängt er die
Verfolger ab."	0
"Vorm <Entity>S-Bahnhof</Entity> Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, Bülowstraße – dort hängt er die
Verfolger ab."	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. <Entity>Goebenstraße</Entity>, Bülowstraße – dort hängt er die
Verfolger ab."	0
"Edith Blum soll am 13. Januar im Bereich der Treveris-Passage <Entity>in der Innenstadt von Trier</Entity> mit
mehreren Leuten Alkohol getrunken haben."	Seit 2015 in <Entity>Deutschland</Entity>, mehrfach vorbestraft	0
"Der Afrikaner reiste im März 2015 als Flüchtling nach
Deutschland ein, lebte zunächst im <Entity>Rhein-Hunsrück</Entity>-Kreis."	"Ein Zeuge entdeckte am 14. Januar 2021 die Leiche der Obdachlosen Edith Blum
(63) zwischen Baucontainern auf dem Platz vor einem Obdachlosenheim <Entity>in</Entity> der
Luxemburger Straße in Trier (Rheinland-Pfalz)."	0
"<Entity>Nasser Rammou</Entity> saß 15 Jahre, also ein Drittel seines
Lebens, im Gefängnis, meist wegen Drogendelikten."	„Das ist als rassistische Tat zu werten“, sagt Amtsrichter <Entity>Carsten Schwanitz</Entity>.	0
"Im Jahr 2015 hatte sich die 15-jährige Leonora M. unbemerkt von ihren Eltern radikalisiert, sie
reiste nach <Entity>Syrien</Entity> aus und schloss sich dem Islamischen Staat an."	"In Syrien soll sie ein ranghohes Mitglied des ISIS-Geheimdienstes geheiratet haben: Martin
Lemke (30) aus <Entity>Zeitz (Burgenlandkreis</Entity>)."	0
"Mit nationalem und auch europäischem Haftbefehl hatte die <Entity>Polizei</Entity>
nach Alex S. (32) gefahndet. Aufgespürt wurde er jetzt aber ganz in der Nähe des Tatorts."	"Zur Motivlage teilte die <Entity>Polizei</Entity> aus ermittlungstaktischen Gründen bislang lediglich mit,
dass diese „im persönlichen, beziehungsbedingten Bereich“ liegen dürfte, aber wohl auch
„finanziell motiviert“ sei."	1
"Urteil nach brutalen Angriffen auf Tschetschenen in Berlin
Nasser <Entity>Rammou</Entity>"	„Das ist als rassistische Tat zu werten“, sagt Amtsrichter <Entity>Carsten Schwanitz</Entity>.	0
"Die Tat: Bei einer Probefahrt am 15. Januar dieses Jahres waren die Männer mit einem BMW
rückwärts ins Schaufenster eines <Entity>Bamberger Juweliers</Entity> gedonnert."	"Die inzwischen frühpensionierten Polizisten rasten rückwärts in das Schaufenster dieses <Entity>Bamberger
Juweliers</Entity>"	1
"Jetzt kam der jüngere Sohn <Entity>Mohamed (24</Entity>) aus der U-Haft
frei!"	"Staatsanwalt <Entity>Julius Sterzel</Entity>
(ZeOS NRW): „Wir prüfen, ob wir Beschwerde einlegen.“"	0
"Denn: Erst wurde wegen fahrlässiger Tötung gegen <Entity>Hamdi H</Entity>. ermittelt, dann gegen beide
Fahrer wegen Totschlags."	"Staatsanwalt <Entity>Christian</Entity> Fröhlich: „Wir haben geprüft, ob bedingter Tötungsvorsatz bei dem
Rennen vorlag. Wir haben Anhaltspunkte dafür.“"	0
"Der Afrikaner reiste im März 2015 als Flüchtling nach
<Entity>Deutschland</Entity> ein, lebte zunächst im Rhein-Hunsrück-Kreis."	"Edith Blum soll am 13. Januar im Bereich der Treveris-Passage <Entity>in der Innenstadt von Trier</Entity> mit
mehreren Leuten Alkohol getrunken haben."	0
"Der Afrikaner reiste im März 2015 als Flüchtling nach
<Entity>Deutschland</Entity> ein, lebte zunächst im Rhein-Hunsrück-Kreis."	"Ein Zeuge entdeckte am 14. Januar 2021 die Leiche der Obdachlosen Edith Blum
(63) zwischen Baucontainern auf dem Platz vor einem Obdachlosenheim <Entity>in</Entity> der
Luxemburger Straße in Trier (Rheinland-Pfalz)."	0
<Entity>Hamdi H. (27</Entity>) weinte die ganze Zeit.	"Denn: Erst wurde wegen fahrlässiger Tötung gegen <Entity>Hamdi H</Entity>. ermittelt, dann gegen beide
Fahrer wegen Totschlags."	1
"Bei Ampelrot in den Gegenverkehr, Slalom in der
Gneisenaustraße, Kollision. <Entity>Mehringdamm</Entity>/Yorckstraße, wieder Kollisionen."	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, <Entity>Zossener Straße</Entity>."	0
<Entity>Badia Al-Zein</Entity>, seine beiden Söhne und seine Frau wurden verhaftet.	"„Mein Mandant ist aus der Haft entlassen. Es besteht kein dringender Tatverdacht“, so sein
Verteidiger <Entity>Goran Bronisch</Entity> zu BILD."	0
Der damalige Komplize, <Entity>Mohamed M. (33</Entity>), behauptete in seinem Prozess, er sei bereits nach der Fesselung geflüchtet, habe mit der Sex-Tat nichts zu tun.	Dort entkleidete <Entity>Mestafa B</Entity>. den Unterleib der gefesselten Seniorin und versuchte, sie vergewaltigen.	0
Der 7. November 2020, <Entity>Bahnhof Gesundbrunnen (Wedding</Entity>).	"Er ist so schwerkriminell, dass er seit der letzten Haftentlassung im Februar 2018 eine
elektronische Fußfessel tragen muss (passiert selten in <Entity>Deutschland</Entity>)."	0
"Beide sollen dann
zur Kreisverkehr-Baustelle am Kopf der <Entity>Römerbrücke in Trier-West</Entity> gegangen sein, um zu
Alkohol zu trinken."	"Edith Blum soll am 13. Januar im Bereich der Treveris-Passage <Entity>in der Innenstadt von Trier</Entity> mit
mehreren Leuten Alkohol getrunken haben."	0.2
"Die
nun angeklagte <Entity>Leonora M</Entity>. soll laut Ermittlern seine Drittfrau gewesen sein."	"Im Jahr 2015 hatte sich die 15-jährige <Entity>Leonora M</Entity>. unbemerkt von ihren Eltern radikalisiert, sie
reiste nach Syrien aus und schloss sich dem Islamischen Staat an."	1
Der Generalbundesanwalt hat die ISIS-Rückkehrerin Leonora M. (21) aus <Entity>Sachsen</Entity>-	"Im Jahr 2015 hatte sich die 15-jährige Leonora M. unbemerkt von ihren Eltern radikalisiert, sie
reiste nach <Entity>Syrien</Entity> aus und schloss sich dem Islamischen Staat an."	0
<Entity>Leonora M</Entity>. mit ihrer Tochter in Syrien	"Die
nun angeklagte <Entity>Leonora M</Entity>. soll laut Ermittlern seine Drittfrau gewesen sein."	1
"Der Somalier hatte am 25. Juni in der <Entity>Würzburger Innenstadt</Entity> auf ihm offensichtlich
unbekannte Menschen eingestochen."	"Derzeit befindet sich Abdirahman J. (24) noch in Untersuchungshaft in einem <Entity>Gefängnis in
Würzburg</Entity>."	0.2
"Der Afrikaner reiste im März 2015 als Flüchtling nach
Deutschland ein, lebte zunächst im <Entity>Rhein-Hunsrück</Entity>-Kreis."	"Im Februar 2020 zog er nach <Entity>Trier</Entity>,
lebte zuletzt in einer von der Stadt zugewiesenen Wohnung."	0
<Entity>Hamdi H. (27</Entity>) weinte die ganze Zeit.	"Der Fall vom 1. Februar 2016: Hamdi H. fährt einen Audi A 6 TDI (225 PS), <Entity>Marvin N</Entity>. einen
AMG-Mercedes (380 PS)."	0
"Der 24-Jährige wurde 2015 in <Entity>Deutschland</Entity> erstmals
registriert."	"Derzeit befindet sich Abdirahman J. (24) noch in Untersuchungshaft in einem <Entity>Gefängnis in
Würzburg</Entity>."	0
Das berichtet die in <Entity>Halle</Entity> erscheinende Mitteldeutsche Zeitung (Mittwochsausgabe).	Leonora M. mit ihrer Tochter in <Entity>Syrien</Entity>	0
"Clan-Boss <Entity>Nasser Rammou</Entity>
muss wieder in Haft"	"Der <Entity>Remmo</Entity>-Clan ist in spektakuläre Millionen-Verbrechen verstrickt (Goldmünze
Bodemuseum, Grünes Gewölbe Dresden)."	0
Al-Zeins wohnen weiterhin in der <Entity>Villa</Entity>	Der Staat wurde im Grundbuch der <Entity>Villa</Entity> direkt nach der Sparkasse Leverkusen eingetragen.	1
